orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YMR105C,PGM2,0,0,0,1,0,1
YMR128W,ECM16,0,0,0,1,0,1
YMR153W,NA,0,0,0,0,1,1
YMR184W,ADD37,0,1,0,0,0,1
YMR196W,YMR196W,0,0,0,1,0,1
YMR205C,PFK2,0,0,0,1,0,1
YMR212C,NA,0,0,0,0,1,1
YMR213W,NA,0,0,0,0,1,1
YMR216C,NA,0,0,0,1,0,1
YMR220W,ERG8,0,0,0,1,0,1
YMR221C,NA,0,0,0,1,0,1
YMR226C,NA,0,0,0,0,1,1
YMR243C,ZRC1,0,0,0,1,0,1
YMR275C,NA,0,0,0,1,0,1
YMR290C,HAS1,0,0,1,0,0,1
YMR291W,NA,0,0,0,1,0,1
YMR311C,GLC8,0,0,0,1,0,1
YMR314W,NA,0,0,0,0,1,1
YNL004W,HRB1,0,0,0,1,0,1
YNL020C,ARK1,0,0,0,1,0,1
YNL039W,BDP1,0,0,0,1,0,1
YNL050C,NA,0,0,0,1,0,1
YNL054W,NA,0,0,0,0,1,1
YNL065W,NA,0,0,0,0,1,1
YNL074C,NA,0,0,0,1,0,1
YNL076W,NA,0,0,0,0,1,1
YNL085W,MKT1,0,0,0,1,0,1
YNL091W,NA,0,0,0,0,1,1
YNL101W,NA,0,0,0,1,0,1
YNL106C,INP52,0,0,0,1,0,1
YNL118C,NA,0,0,0,1,0,1
YNL127W,FAR11,0,0,0,1,0,1
YNL136W,NA,0,0,0,1,0,1
YNL152W,NA,0,0,0,1,0,1
YNL154C,NA,0,0,0,1,0,1
YNL161W,NA,0,0,0,1,0,1
YNL166C,BNI5,0,0,0,1,0,1
YNL167C,NA,0,0,0,1,0,1
